City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hinatuan,76,PH,1553756383,100,8.37,126.34,80.63,11.65
kawalu,24,ID,1553756383,95,-7.38,108.21,74.96,2.82
skelleftea,0,SE,1553755987,74,64.75,20.95,42.01,11.41
arman,0,RU,1553756384,57,59.7,150.17,18.89,10.54
mehamn,90,NO,1553752200,87,71.03,27.85,32.0,33.33
muroto,75,JP,1553752800,59,33.37,134.14,64.4,8.05
xingcheng,56,CN,1553756385,26,40.62,120.71,47.15,4.16
nizhniy tsasuchey,64,RU,1553756385,39,50.52,115.13,32.21,8.08
haines junction,0,CA,1553756385,80,60.75,-137.51,20.24,2.15
sierre,0,CH,1553756384,74,46.29,7.53,37.99,1.12
inverness,40,GB,1553756105,81,57.48,-4.23,52.0,20.8
dalbandin,44,PK,1553756386,67,28.9,64.41,75.32,4.38
banyuwangi,32,ID,1553756386,84,-8.21,114.37,84.32,3.6
trairi,88,BR,1553756386,100,-3.28,-39.27,78.74,5.73
bay city,90,US,1553756244,49,43.59,-83.89,50.0,12.75
leningradskiy,76,RU,1553756387,86,69.38,178.42,17.72,22.06
tirumullaivasal,0,IN,1553756387,69,11.24,79.84,88.37,4.38
solano,36,PH,1553756388,44,16.52,121.18,84.68,4.05
kasama,92,ZM,1553756388,98,-10.21,31.19,66.86,6.17
yerbogachen,56,RU,1553756388,70,61.28,108.01,32.57,3.83
galle,75,US,1553756383,87,29.74,-97.91,61.0,5.82
kaohsiung,75,TW,1553755594,66,22.62,120.31,84.2,12.75
praia da vitoria,75,PT,1553755512,62,38.73,-27.07,59.0,14.0
zemio,24,CF,1553756389,91,5.02,25.13,72.98,3.71
luderitz,0,NA,1553756390,94,-26.65,15.16,58.49,9.08
saint-augustin,0,FR,1553756229,80,44.83,-0.61,43.0,3.36
chepareria,64,KE,1553756390,85,1.32,35.2,63.71,1.92
port macquarie,80,AU,1553756105,53,-31.43,152.91,75.2,10.29
tuatapere,0,NZ,1553755807,74,-46.13,167.69,57.99,5.95
zimovniki,88,RU,1553756391,87,47.15,42.46,38.69,18.25
narsaq,20,GL,1553752200,52,60.91,-46.05,15.8,18.34
saint-pierre,8,FR,1553756225,75,48.95,4.24,37.0,8.05
qandala,8,SO,1553756392,58,11.47,49.87,79.1,2.93
leeston,0,NZ,1553756284,71,-43.76,172.3,60.01,11.41
troyes,0,FR,1553755509,81,48.3,4.07,33.8,5.82
salcaja,24,GT,1553756393,89,14.88,-91.45,43.1,2.15
bagdarin,48,RU,1553756393,22,54.44,113.59,24.11,5.28
fort walton beach,1,US,1553756166,41,30.41,-86.62,60.01,8.05
goundam,32,ML,1553756394,68,16.42,-3.66,74.42,4.38
sandviken,0,SE,1553756345,53,60.62,16.77,44.01,4.0
gurjaani,20,GE,1553754600,53,41.75,45.79,50.0,24.16
genhe,68,CN,1553756395,56,50.78,121.52,22.31,4.05
vicosa,12,BR,1553756103,99,-20.75,-42.88,70.0,4.72
xichang,80,CN,1553756395,23,27.88,102.25,66.14,1.48
saint george,75,GR,1553755400,66,39.45,22.34,53.6,18.34
hays,1,US,1553755648,82,38.88,-99.33,59.0,10.29
nombre de dios,12,MX,1553755817,35,23.85,-104.24,62.01,7.0
floro,75,NO,1553756389,93,61.6,5.03,48.2,19.46
senanga,8,ZM,1553756397,49,-16.1,23.3,77.3,13.33
farafangana,56,MG,1553756398,100,-22.82,47.83,78.11,10.65
alexandria,1,US,1553755831,81,31.31,-92.44,48.99,3.36
loa janan,44,ID,1553756398,84,-0.58,117.09,83.42,2.59
luanda,40,AO,1553752800,88,-8.83,13.24,80.6,4.7
minas,0,UY,1553752800,87,-34.38,-55.24,55.4,6.73
beihai,40,CN,1553754600,24,38.95,121.19,46.4,8.95
nome,1,US,1553756347,93,30.04,-94.42,57.0,5.39
uyuni,92,BO,1553756401,96,-20.46,-66.82,39.68,3.6
ayan,12,TR,1553756402,69,40.67,33.6,33.29,3.15
belaya gora,0,RU,1553756405,81,68.54,146.19,10.16,5.17
ostrovnoy,8,RU,1553756411,87,68.05,39.51,25.37,15.35
deputatskiy,0,RU,1553756413,74,69.3,139.9,10.7,3.94
kruisfontein,48,ZA,1553756413,85,-34.0,24.73,62.9,11.88
henties bay,64,NA,1553752934,93,-22.12,14.28,62.01,3.0
tilichiki,20,RU,1553756414,80,60.47,166.1,17.72,2.71
waipawa,64,NZ,1553754737,76,-39.94,176.59,59.0,1.99
hasaki,75,JP,1553756076,62,35.73,140.83,57.2,6.93
gimli,32,CA,1553756406,85,50.63,-96.99,36.0,7.0
cabo san lucas,40,MX,1553756144,27,22.89,-109.91,66.0,4.7
kishanganj,8,IN,1553756419,51,26.1,87.95,82.88,7.74
mandali,0,IQ,1553756421,99,33.75,45.55,57.41,5.28
dalianwan,40,CN,1553754600,24,39.03,121.69,46.4,8.95
paita,48,PE,1553756424,78,-5.09,-81.11,72.98,4.16
namibe,12,AO,1553756424,98,-15.19,12.15,78.02,6.29
vao,0,EE,1553756425,90,59.1,26.19,28.16,5.39
plauen,75,DE,1553756425,93,50.5,12.13,45.0,4.7
bijie,32,CN,1553756425,68,27.3,105.3,64.43,4.61
lalganj,0,IN,1553754600,40,26.17,80.97,86.0,3.36
miramar,0,CR,1553756412,56,10.09,-84.73,69.8,19.46
calvinia,0,ZA,1553754600,55,-31.47,19.78,60.8,3.36
general pico,0,AR,1553756428,66,-35.66,-63.75,61.1,12.66
carballo,0,ES,1553756408,65,43.21,-8.69,52.0,3.94
talara,48,PE,1553756229,78,-4.58,-81.27,72.98,4.16
farsund,88,NO,1553756133,91,58.09,6.8,46.0,5.01
kedrovyy,0,RU,1553754600,38,56.17,91.82,42.8,13.42
uray,64,RU,1553756429,87,60.13,64.8,38.24,6.06
saldanha,0,PT,1553756429,54,41.42,-6.55,39.5,9.64
honiara,64,SB,1553756430,74,-9.43,159.96,83.15,1.25
toppenish,90,US,1553756424,86,46.38,-120.31,46.99,4.7
nueva helvecia,0,UY,1553755569,91,-34.28,-57.23,54.0,9.19
talagang,0,PK,1553756431,59,32.92,72.41,78.56,6.96
taltal,0,CL,1553756431,85,-25.41,-70.49,52.73,3.83
san pedro carcha,76,GT,1553756431,100,15.48,-90.31,62.99,0.69
terney,0,RU,1553756431,84,45.05,136.61,31.04,15.23
tres passos,20,BR,1553756432,78,-27.46,-53.93,67.76,12.33
dera ghazi khan,0,PK,1553756428,56,30.03,70.64,85.4,8.08
ilukste,0,LV,1553756432,72,55.98,26.3,27.71,2.93
walvis bay,75,NA,1553752934,77,-22.95,14.51,62.6,3.36
sao felix do xingu,48,BR,1553756272,100,-6.64,-51.99,72.35,2.15
porto belo,75,BR,1553756405,88,-27.15,-48.54,73.99,5.82
loviisa,0,FI,1553756255,92,60.46,26.23,36.0,4.7
buchanan,20,LR,1553752800,94,5.88,-10.05,73.4,5.39
rovaniemi,75,FI,1553754000,83,66.5,25.72,32.0,24.16
havoysund,75,NO,1553754000,69,71.0,24.66,35.6,31.09
novska,0,HR,1553754600,80,45.34,16.98,39.2,4.7
letlhakane,8,BW,1553756435,73,-21.42,25.59,69.83,12.55
radomsko,92,PL,1553756425,88,51.07,19.44,43.0,9.19
kibala,0,TD,1553752800,69,9.11,18.35,80.6,8.19
atherton,80,GB,1553756433,88,53.52,-2.49,46.4,2.24
yeppoon,75,AU,1553754600,78,-23.13,150.74,78.8,12.75
kutum,8,SD,1553756437,18,14.2,24.66,64.88,10.09
paso de los toros,0,UY,1553756437,82,-32.81,-56.52,59.12,11.99
stuttgart,0,DE,1553756243,74,48.78,9.18,43.0,1.12
sinnamary,92,GF,1553756438,93,5.38,-52.96,80.18,12.66
padang,56,ID,1553756438,100,-0.92,100.36,82.88,3.83
almeirim,20,PT,1553756430,87,39.21,-8.63,52.0,5.82
carutapera,76,BR,1553756439,96,-1.2,-46.02,78.02,4.94
nacala,12,MZ,1553756439,99,-14.56,40.69,80.45,9.64
rincon,1,US,1553756407,65,32.3,-81.24,54.0,3.36
derzhavinsk,92,KZ,1553756440,100,51.1,66.31,38.87,22.73
gizo,20,IL,1553756407,67,31.8,34.94,64.99,8.05
natal,40,BR,1553752800,88,-5.81,-35.21,77.0,8.05
mitu,88,IR,1553756441,88,36.2,46.09,39.05,3.71
granja,64,BR,1553756441,95,-3.12,-40.83,75.68,4.94
harer,40,US,1553756407,64,42.19,-111.17,39.99,7.74
cockburn town,92,TC,1553756209,100,21.46,-71.14,75.86,7.4
bonthe,48,SL,1553756442,92,7.53,-12.5,79.01,3.49
kavieng,64,PG,1553756443,100,-2.57,150.8,84.41,10.65
semenivka,0,UA,1553756443,68,52.18,32.58,28.25,4.72
lata,12,IN,1553756443,68,30.78,78.62,61.82,1.59
kushima,40,JP,1553755945,52,31.5,131.29,64.4,3.36
ca mau,24,VN,1553756444,58,9.18,105.15,93.14,10.65
sawai madhopur,0,IN,1553756444,44,26.02,76.35,90.89,4.61
sfantu gheorghe,0,RO,1553756404,48,44.65,26.83,48.0,3.36
awbari,64,LY,1553756445,62,26.59,12.77,59.84,2.82
manoel urbano,68,BR,1553756445,89,-8.84,-69.26,75.95,3.04
aklavik,90,CA,1553752800,86,68.22,-135.01,26.6,6.4
san quintin,0,PH,1553756446,43,17.54,120.52,87.74,7.18
gardner,1,US,1553756417,62,38.81,-94.93,61.0,13.87
opuwo,0,NA,1553756447,79,-18.06,13.84,59.57,3.15
scottsbluff,40,US,1553756172,66,41.87,-103.67,50.0,10.29
matara,92,PE,1553756447,100,-13.74,-72.9,42.56,1.92
micheweni,64,TZ,1553756448,100,-4.97,39.83,79.37,5.95
vasai,0,IN,1553756448,22,22.43,69.93,97.82,6.17
venice,1,US,1553756346,82,27.1,-82.45,60.01,13.87
fairbanks,75,US,1553756407,80,64.84,-147.72,33.8,4.94
sao jose da coroa grande,88,BR,1553756449,100,-8.9,-35.15,76.67,4.83
stepnogorsk,68,KZ,1553756449,99,52.35,71.88,32.93,15.57
along,0,IN,1553756449,51,28.17,94.8,71.18,1.92
mbigou,12,GA,1553756449,94,-1.9,11.91,68.93,2.26
luwuk,88,ID,1553756450,90,-0.95,122.79,82.52,1.92
homer,1,US,1553756435,81,59.64,-151.54,42.8,8.05
aldama,20,MX,1553756417,87,22.92,-98.09,71.01,6.73
lompoc,90,US,1553756299,93,34.64,-120.46,57.2,4.7
nanhyanga,68,TZ,1553756451,99,-10.8,39.55,76.58,4.38
esperance,20,TT,1553755551,88,10.24,-61.45,75.2,3.36
sterlibashevo,68,RU,1553756452,87,53.44,55.26,34.19,6.06
miyang,48,CN,1553756452,42,24.4,103.44,72.44,10.09
palafrugell,0,ES,1553756407,80,41.92,3.16,53.01,1.12
broome,75,GB,1553756422,81,52.47,1.45,46.99,3.36
ocampo,88,PH,1553756453,83,13.56,123.37,81.71,8.19
hualmay,88,PE,1553756454,94,-11.1,-77.61,66.95,3.71
coxim,44,BR,1553756454,70,-18.5,-54.75,78.38,8.97
egvekinot,44,RU,1553756213,84,66.32,-179.17,19.43,3.6
clemencia,75,CO,1553756406,78,10.57,-75.33,80.6,12.75
kununurra,0,AU,1553754600,23,-15.77,128.74,98.6,5.82
ponta delgada,20,PT,1553756425,76,37.73,-25.67,55.4,10.29
novyy urengoy,0,RU,1553756455,94,66.08,76.63,24.38,9.75
wanxian,92,CN,1553756455,91,30.8,108.39,59.84,3.27
fort nelson,20,CA,1553752800,88,58.81,-122.69,32.0,2.24
alpharetta,1,US,1553756452,49,34.07,-84.27,46.4,5.82
kulhudhuffushi,0,MV,1553756456,100,6.62,73.07,84.23,4.61
sydney mines,5,CA,1553756446,92,46.24,-60.22,19.99,4.7
hobyo,0,SO,1553756457,74,5.35,48.53,84.23,10.42
nuuk,68,GL,1553755920,85,64.17,-51.74,15.8,4.72
duluth,90,US,1553756278,80,46.77,-92.13,39.99,13.89
huarmey,80,PE,1553756458,90,-10.07,-78.15,65.78,3.15
dali,64,CN,1553756458,50,25.6,100.24,65.51,2.59
saint-joseph,0,FR,1553756283,65,43.56,6.97,52.0,4.7
bezhta,92,RU,1553756460,88,42.13,46.13,34.28,1.81
sabang,88,PH,1553756460,83,13.72,123.58,81.71,8.19
marienburg,80,DE,1553756416,93,52.12,9.98,46.99,5.82
coahuayana,0,MX,1553756461,50,18.62,-100.35,57.5,2.71
pangnirtung,20,CA,1553756461,58,66.15,-65.72,-6.85,3.94
chicama,20,PE,1553752800,88,-7.84,-79.15,68.0,8.05
salym,20,RU,1553756462,83,60.06,71.48,38.24,5.39
sisimiut,0,GL,1553756462,38,66.94,-53.67,-12.97,2.71
beberibe,40,BR,1553756331,94,-4.18,-38.13,77.0,4.7
nouadhibou,0,MR,1553752800,88,20.93,-17.03,62.6,11.41
boende,12,CD,1553756463,96,-0.28,20.88,73.07,3.04
rudnya,88,RU,1553756463,96,50.8,44.56,33.92,13.22
bakchar,8,RU,1553756463,86,57.02,82.07,39.05,3.49
college,75,US,1553756407,80,64.86,-147.8,33.8,4.94
morehead,1,US,1553756405,56,38.18,-83.43,48.2,5.82
igis,0,CH,1553756458,86,46.95,9.57,37.99,3.36
quatre cocos,75,MU,1553756345,74,-20.21,57.76,87.01,9.17
bakhmach,0,UA,1553756465,80,51.18,32.81,29.06,6.73
ixtapa,5,MX,1553756437,94,20.71,-105.21,72.0,2.59
kavaratti,36,IN,1553756465,100,10.57,72.64,83.06,3.38
irbeyskoye,0,RU,1553756466,100,55.64,95.45,37.16,4.61
belousovka,12,KZ,1553754600,60,50.13,82.52,41.0,6.71
maragogi,88,BR,1553756320,100,-9.01,-35.22,76.67,4.83
toktogul,80,KG,1553756466,63,41.87,72.95,47.24,1.92
dickinson,90,US,1553756410,74,46.88,-102.79,37.0,3.36
san cristobal,75,EC,1553756409,100,-0.39,-78.55,57.2,3.36
atambua,100,ID,1553756443,100,-9.11,124.89,79.1,7.63
bafq,0,IR,1553756468,41,31.6,55.4,63.62,4.16
salinopolis,88,BR,1553756468,100,-0.61,-47.36,79.1,8.75
acapulco,5,MX,1553751900,83,16.86,-99.88,77.0,4.7
hinton,0,CA,1553756469,75,53.4,-117.57,24.2,2.59
rio branco,75,BR,1553752800,94,-9.98,-67.82,75.2,3.36
shkurinskaya,48,RU,1553756470,71,46.58,39.36,40.94,11.99
krasnorechenskiy,0,RU,1553756470,33,44.63,135.35,30.14,10.54
tisovec,20,SK,1553756409,64,48.68,19.94,37.99,8.05
san lorenzo cuauhtenco,20,MX,1553755941,39,19.2,-99.63,60.8,0.36
qazvin,75,IR,1553752800,70,36.28,50.01,48.2,4.7
pushkino,40,RU,1553755266,80,56.01,37.85,34.0,11.18
colonia,0,RO,1553754600,37,46.6,23.97,37.4,4.7
muisne,92,EC,1553756472,93,0.61,-80.02,73.25,3.71
vestmannaeyjar,75,IS,1553752800,100,63.44,-20.27,32.0,13.87
mayumba,80,GA,1553756473,100,-3.44,10.65,74.96,6.17
pontal,0,BR,1553752800,83,-21.02,-48.04,71.6,8.05
colesberg,8,ZA,1553756473,56,-30.72,25.1,57.32,2.59
abha,40,SA,1553752800,59,18.22,42.5,69.8,8.05
gandhidham,0,IN,1553756328,61,23.07,70.13,85.49,2.82
rypefjord,75,NO,1553754000,69,70.63,23.67,39.2,31.09
medyn,75,RU,1553754600,74,54.97,35.86,30.2,13.42
turiacu,80,BR,1553756475,97,-5.01,-63.0,74.24,2.48
clinton,90,US,1553756464,70,41.84,-90.19,55.4,17.22
trollhattan,90,SE,1553756464,100,58.28,12.29,42.01,9.17
vilyuysk,0,RU,1553756282,60,63.75,121.63,23.48,4.61
general roca,0,AR,1553752800,82,-39.03,-67.58,60.8,3.36
poum,80,MK,1553756477,59,41.28,20.71,33.92,2.04
abu dhabi,20,AE,1553753640,82,24.47,54.37,69.8,17.22
lahuachaca,20,BO,1553756477,99,-17.38,-67.67,34.19,2.93
lashio,32,MM,1553756303,69,22.93,97.75,71.54,2.59
thinadhoo,24,MV,1553756199,100,0.53,72.93,83.24,3.15
chiredzi,0,ZW,1553756478,80,-21.05,31.67,72.89,3.6
hovd,75,NO,1553756421,93,63.83,10.7,46.4,13.87
aginskoye,48,RU,1553756158,86,51.11,114.54,28.99,3.0
camacupa,12,AO,1553756479,85,-12.02,17.48,64.43,5.06
lakes entrance,76,AU,1553756403,65,-37.88,147.99,80.01,4.0
cumadcad,88,PH,1553756480,92,12.98,123.79,78.65,4.72
bukachacha,36,RU,1553756480,31,52.99,116.91,28.25,5.17
qiongshan,20,CN,1553752800,49,20.01,110.35,91.4,4.47
san juan del cesar,0,CO,1553756480,85,10.77,-73.01,64.88,2.26
asadabad,75,IR,1553752800,93,34.78,48.12,37.4,9.17
ketchikan,1,US,1553752560,75,55.34,-131.65,48.2,9.17
baglung,0,NP,1553756481,55,28.27,83.59,66.05,0.69
alekseyevka,40,RU,1553754600,74,53.25,50.49,37.4,4.47
altay,0,CN,1553756482,63,47.83,88.13,39.14,2.26
sulangan,0,PH,1553756482,99,11.14,123.72,82.52,8.75
hailar,68,CN,1553756482,24,49.2,119.7,32.3,10.65
krylovskaya,0,RU,1553756417,71,46.32,39.96,41.0,12.66
mount isa,90,AU,1553754600,65,-20.73,139.49,80.6,12.75
mazatlan,40,MX,1553755542,82,23.22,-106.42,69.01,1.59
jerantut,76,MY,1553756484,51,3.94,102.37,89.9,2.37
denizli,0,TR,1553752200,70,37.77,29.09,42.8,2.24
negombo,20,LK,1553753400,43,7.21,79.83,89.6,9.17
harnosand,0,SE,1553756307,92,62.63,17.94,39.0,14.0
abbeville,8,FR,1553756417,81,50.11,1.83,46.4,1.12
buala,20,SB,1553756485,86,-8.15,159.59,84.5,3.71
nishihara,75,JP,1553756416,71,35.74,139.53,64.0,12.75
mana,0,RS,1553754600,59,43.52,20.24,33.8,1.12
uglegorsk,80,RU,1553756486,70,49.08,142.06,21.68,12.55
sur,0,OM,1553756486,83,22.57,59.53,78.38,5.28
oblivskaya,80,RU,1553756486,78,48.54,42.5,35.27,16.46
kostomuksha,76,RU,1553756487,76,64.59,30.6,26.99,7.18
nanding,32,CN,1553756487,39,24.87,105.42,84.32,3.83
gewane,80,ET,1553756487,70,10.16,40.66,75.5,3.94
badou,12,TG,1553756488,97,7.58,0.61,69.02,2.37
honningsvag,90,NO,1553752200,95,70.98,25.97,32.0,33.33
karpathos,20,GR,1553754000,72,35.51,27.21,62.6,6.93
yugorsk,24,RU,1553756489,86,61.32,63.33,35.18,6.4
kapit,80,MY,1553756489,74,2.02,112.94,84.05,2.71
banfora,8,BF,1553756489,85,10.64,-4.75,71.9,6.17
half moon bay,75,US,1553756484,87,37.46,-122.43,55.99,9.17
eyl,0,SO,1553756490,90,7.98,49.82,80.81,6.06
bolgatanga,8,GH,1553756490,78,10.79,-0.85,72.17,2.71
yumen,76,CN,1553756490,46,40.29,97.04,47.51,4.16
burns lake,0,CA,1553756490,65,54.23,-125.76,28.97,3.94
aksarka,8,RU,1553756491,93,66.56,67.8,24.74,7.63
port augusta,0,AU,1553755998,28,-32.49,137.76,86.0,17.22
springbok,0,ZA,1553753940,7,-29.67,17.88,73.4,2.24
temir,92,KZ,1553756492,99,49.14,57.13,35.72,12.33
grand gaube,75,MU,1553756345,74,-20.01,57.66,87.01,9.17
coffeyville,1,US,1553756347,67,37.04,-95.62,59.0,12.75
